frame.time,ip.src,ip.dst,udp.srcport,udp.dstport,dns.qry.name,dns.qry.type,dns.flags.response
"Apr 10, 2025 22:36:53.440365000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,customerevents.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440399000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,secure.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440436000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,api-global.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440470000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,nrdp.nccp.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440502000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,ichnaea.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.440531000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,ichnaea.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.440586000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,cdn-0.nflximg.com,1,TRUE
"Apr 10, 2025 22:36:53.441638000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp.prod.cloud.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.441981000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,ichnaea.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.442316000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,uiboot.netflix.com,28,TRUE
"Apr 10, 2025 22:36:53.442668000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,cdn-0.nflximg.com,1,TRUE
"Apr 10, 2025 22:36:53.443027000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,uiboot.netflix.com,1,TRUE
"Apr 10, 2025 22:36:53.451361000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,LG-TV-2020.prod.partner.netflix.net,1,FALSE
"Apr 10, 2025 22:36:53.451361000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,LG-TV-2020.prod.partner.netflix.net,28,FALSE
"Apr 10, 2025 22:36:53.489643000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,cdn-0.nflximg.com,28,TRUE
"Apr 10, 2025 22:36:53.618197000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,LG-TV-2020.prod.partner.netflix.net,28,TRUE
"Apr 10, 2025 22:36:53.695682000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,LG-TV-2020.prod.partner.netflix.net,1,TRUE
"Apr 10, 2025 22:36:53.751480000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,eu-imp-pix.adstk.io,1,FALSE
"Apr 10, 2025 22:36:53.751480000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,eu-imp-pix.adstk.io,28,FALSE
"Apr 10, 2025 22:36:53.752363000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,eu-imp-pix.adstk.io,1,TRUE
"Apr 10, 2025 22:36:53.752856000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,eu-imp-pix.adstk.io,28,TRUE
"Apr 10, 2025 22:36:53.857315000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,rr3---sn-aigzrn7s.googlevideo.com,1,FALSE
"Apr 10, 2025 22:36:53.858205000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,rr3---sn-aigzrn7s.googlevideo.com,28,FALSE
"Apr 10, 2025 22:36:53.883893000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,static.doubleclick.net,1,FALSE
"Apr 10, 2025 22:36:53.883893000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,static.doubleclick.net,28,FALSE
"Apr 10, 2025 22:36:54.005433000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,rr3---sn-aigzrn7s.googlevideo.com,1,TRUE
"Apr 10, 2025 22:36:54.007706000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,static.doubleclick.net,1,TRUE
"Apr 10, 2025 22:36:54.007954000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,static.doubleclick.net,28,TRUE
"Apr 10, 2025 22:36:54.008052000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,rr3---sn-aigzrn7s.googlevideo.com,28,TRUE
"Apr 10, 2025 22:36:54.601026000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,gb.ad.lgsmartad.com,1,FALSE
"Apr 10, 2025 22:36:54.601026000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,gb.ad.lgsmartad.com,28,FALSE
"Apr 10, 2025 22:36:54.602592000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,gb.ad.lgsmartad.com,1,TRUE
"Apr 10, 2025 22:36:54.617012000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,gb.ad.lgsmartad.com,28,TRUE
"Apr 10, 2025 22:36:55.183619000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,logs.netflix.com,28,FALSE
"Apr 10, 2025 22:36:55.183619000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,logs.netflix.com,28,FALSE
"Apr 10, 2025 22:36:55.183619000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,logs.netflix.com,1,FALSE
"Apr 10, 2025 22:36:55.183619000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,logs.netflix.com,1,FALSE
"Apr 10, 2025 22:36:55.335306000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,logs.netflix.com,28,TRUE
"Apr 10, 2025 22:36:55.335361000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,logs.netflix.com,1,TRUE
"Apr 10, 2025 22:36:55.335869000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,logs.netflix.com,28,TRUE
"Apr 10, 2025 22:36:55.336427000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,logs.netflix.com,1,TRUE
"Apr 10, 2025 22:36:55.717747000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,www.google.com,1,FALSE
"Apr 10, 2025 22:36:55.717747000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,www.google.com,28,FALSE
"Apr 10, 2025 22:36:55.954929000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,www.google.com,28,TRUE
"Apr 10, 2025 22:36:55.955241000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,www.google.com,1,TRUE
"Apr 10, 2025 22:36:56.018470000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,clients1.google.com,1,FALSE
"Apr 10, 2025 22:36:56.018470000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,clients1.google.com,28,FALSE
"Apr 10, 2025 22:36:56.111913000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,preapp.prod.partner.netflix.net,1,FALSE
"Apr 10, 2025 22:36:56.111913000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,preapp.prod.partner.netflix.net,1,FALSE
"Apr 10, 2025 22:36:56.155804000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,clients1.google.com,1,TRUE
"Apr 10, 2025 22:36:56.156788000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,clients1.google.com,28,TRUE
"Apr 10, 2025 22:36:56.178166000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,preapp.prod.partner.netflix.net,1,TRUE
"Apr 10, 2025 22:36:56.178574000 GMT Daylight Time",8.8.8.8,192.168.137.107,53,54819,preapp.prod.partner.netflix.net,1,TRUE
"Apr 10, 2025 22:37:03.283947000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:37:03.283947000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:37:03.314277000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:37:03.339800000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:37:04.727158000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:37:04.727158000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:37:04.728454000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:37:04.745318000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:37:09.957040000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:37:09.957040000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:37:09.957975000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:37:09.967810000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:37:10.878560000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:37:10.878560000 GMT Daylight Time",192.168.137.107,192.168.137.1,47552,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:37:10.879744000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:37:10.890266000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,47552,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:37:14.436509000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp51-appboot.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.437426000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp51-appboot.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.442525000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp51-appboot.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.442803000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp51-appboot.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.453384000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp.nccp.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.453714000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp.nccp.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.454016000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp.nccp.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.454016000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp.nccp.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.454016000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp-cell4.prod.ftl.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.454016000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp-cell4.prod.ftl.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.454640000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp-cell4.prod.ftl.netflix.com,1,TRUE
"Apr 10, 2025 22:37:14.455697000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp-cell4.prod.ftl.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.455962000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp-cell4.prod.ftl.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.455962000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp.prod.cloud.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.455962000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp.prod.cloud.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.455962000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,nrdp.prod.cloud.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.455962000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,nrdp.prod.cloud.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.456025000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp-cell4.prod.ftl.netflix.com,28,TRUE
"Apr 10, 2025 22:37:14.456437000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp.prod.cloud.netflix.com,1,TRUE
"Apr 10, 2025 22:37:14.456504000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57294,nrdp.prod.cloud.netflix.com,28,TRUE
"Apr 10, 2025 22:37:14.456630000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,api-global.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.456630000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,api-global.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.456630000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,api-global.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,api-global.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,secure.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,secure.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,secure.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,secure.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,uiboot.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,uiboot.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,uiboot.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,uiboot.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,customerevents.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,customerevents.netflix.com,1,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,192.168.137.1,57294,53,customerevents.netflix.com,28,FALSE
"Apr 10, 2025 22:37:14.457877000 GMT Daylight Time",192.168.137.107,8.8.8.8,54819,53,customerevents.netflix.com,28,FALSE
